@relation flood
@attribute rain_status {havy_rain,normal_rain,no_rain}

@attribute month {april,june,august}
@attribute dam_status {gojoldoba_open, tipayamuk_open, farakka_open, close}



@attribute river_danger_level real

@attribute sea_level {high,normal}

@attribute slope {Uproot,hill,no}

@attribute mountain_hill_throat {yes,no}



@attribute division_at_risk {rangpur_at_risk,dhaka_at_risk,shylhet_at_risk,rajshahi_at_risk,barisal_at_risk,khulna_at_risk,mymnsign_at_risk,chattagram_at_risk}

@data
normal_rain,august,gojoldoba_open,16.07,normal,no,no,rajshahi_at_risk
normal_rain,august,gojoldoba_open,19.36,normal,no,no,rajshahi_at_risk
normal_rain,august,gojoldoba_open,9.58,normal,no,no,dhaka_at_risk
normal_rain,august,gojoldoba_open,6.64,normal,no,no,dhaka_at_risk
normal_rain,august,gojoldoba_open,4.12,normal,no,no,khulna_at_risk
normal_rain,august,gojoldoba_open,10.96,normal,no,no,shylhet_at_risk
normal_rain,august,gojoldoba_open,7.56,normal,no,no,shylhet_at_risk
normal_rain,august,gojoldoba_open,15.51,normal,no,no,shylhet_at_risk
normal_rain,august,gojoldoba_open,13.08,normal,no,no,shylhet_at_risk
normal_rain,august,gojoldoba_open,8.07,normal,no,no,shylhet_at_risk
normal_rain,august,gojoldoba_open,6.07,normal,no,no,shylhet_at_risk
normal_rain,august,gojoldoba_open,4.68,normal,no,no,chattagram_at_risk
normal_rain,august,farakka_open,18.28,normal,no,no,rajshahi_at_risk
normal_rain,august,farakka_open,18.28,normal,no,no,rajshahi_at_risk
normal_rain,august,farakka_open,18.28,normal,no,no,rajshahi_at_risk
normal_rain,august,farakka_open,18.28,normal,no,no,rajshahi_at_risk
normal_rain,august,tipayamuk_open,11.35,normal,no,no,shylhet_at_risk
normal_rain,august,tipayamuk_open,8.72,normal,no,no,shylhet_at_risk
normal_rain,august,tipayamuk_open,17.36,normal,no,no,shylhet_at_risk
normal_rain,august,tipayamuk_open,13.61,normal,no,no,shylhet_at_risk
no_rain,june,close,21.41,normal,Uproot,no,rangpur_at_risk
no_rain,june,close,22.81,normal,Uproot,no,rangpur_at_risk
no_rain,june,close,19.07,normal,Uproot,no,rajshahi_at_risk
no_rain,june,close,80,normal,Uproot,no,dhaka_at_risk
no_rain,june,close,90,normal,Uproot,no,dhaka_at_risk
no_rain,june,close,10.21,normal,Uproot,no,rangpur_at_risk
no_rain,june,close,33.61,normal,Uproot,no,rangpur_at_risk
no_rain,june,close,15.12,normal,Uproot,no,rajshahi_at_risk
no_rain,june,close,7.03,normal,Uproot,no,chattagram_at_risk
no_rain,june,close,8.10,normal,Uproot,no,shylhet_at_risk
no_rain,june,close,11.35,normal,Uproot,no,shylhet_at_risk
havy_rain,june,close,11.35,normal,hill,no,shylhet_at_risk
havy_rain,june,close,8.72,normal,hill,no,shylhet_at_risk
havy_rain,june,close,6.90,normal,hill,no,chattagram_at_risk
havy_rain,june,close,12.54,normal,hill,no,chattagram_at_risk
havy_rain,june,close,6.50,normal,hill,no,chattagram_at_risk
no_rain,april,close,11.35,high,no,no,shylhet_at_risk
no_rain,april,close,6.20,high,no,no,barisal_at_risk
no_rain,april,close,7.03,high,no,no,chattagram_at_risk
no_rain,april,close,12.54,high,no,no,chattagram_at_risk
no_rain,april,close,25.07,normal,no,yes,rangpur_at_risk
no_rain,april,close,18.28,normal,no,yes,rajshahi_at_risk
no_rain,april,close,24.20,normal,no,yes,rangpur_at_risk
no_rain,april,close,13.71,normal,no,yes,mymnsign_at_risk
havy_rain,june,close,8.72,normal,no,no,shylhet_at_risk
no_rain,april,close,7.03,high,no,no,chattagram_at_risk


